 bare coating, constant channel, iterate over lens_dia, well_diff, det_rad, n_well (pdms =1.43 and silicon = 3.45), n_oil (pdms=1.43, oil=1.52), n_lens (1.76, 2.1),,,,,,,,,,,
 EMISSION (um), N_WELL , N_OIL, N_LENS, COAT_REFL, LENS_DIA (um), EFF (um), BFL (um), CHAN WIDTH (um), WELL HEIGHT (um), WELL DIFF HEIGHT (um), WELL WIDTH (um), SLIDE_HEIGHT (um), AIR_GAP (um), WD (um), DET_RAD (um), \NUMBEROFRAYS.\, \RAYS_AREA.\, \BASENUMBEROFRAYS.\, \BASERAYS_AREA.\  ,
0.59,1.43,1.43,2.1,-1,400,313.43,113.43,25,253.4328358,53.43283582,400,50,2,503.4,258.333333,0,45,0,0.000214636,
0.59,1.43,1.43,2.1,-1,400,313.43,113.43,25,253.4328358,53.43283582,400,50,2,503.4,272.222222,0,45,0,0.000193293,
0.59,1.43,1.43,2.1,-1,400,313.43,113.43,25,253.4328358,53.43283582,400,50,2,503.4,286.111111,0,45,0,0.000174982,
0.59,1.43,1.43,2.1,-1,400,313.43,113.43,25,253.4328358,53.43283582,400,50,2,503.4,300,0,45,0,0.000159155,
0.59,1.43,1.43,2.1,-1,400,313.43,113.43,25,253.4328358,53.43283582,400,50,2,503.4,50,0,3,0,0.000381972,
0.59,1.43,1.43,2.1,-1,440,344.77,124.77,25,284.7761194,64.7761194,440,50,2,554.7,50,0,2,0,0.000254648,
0.59,1.43,1.43,2.1,-1,440,344.77,124.77,25,284.7761194,64.7761194,440,50,2,554.7,63.8888888,0,4,0,0.000311932,
0.59,1.43,1.43,2.1,-1,440,344.77,124.77,25,284.7761194,64.7761194,440,50,2,554.7,77.7777777,0,6,0,0.000315712,
0.59,1.43,1.43,2.1,-1,440,344.77,124.77,25,284.7761194,64.7761194,440,50,2,554.7,91.6666666,0,9,0,0.000340934,
0.59,1.43,1.43,2.1,-1,440,344.77,124.77,25,284.7761194,64.7761194,440,50,2,554.7,105.555555,0,11,0,0.000314254,
0.59,1.43,1.43,2.1,-1,440,344.77,124.77,25,284.7761194,64.7761194,440,50,2,554.7,119.444444,0,16,0,0.000356976,
0.59,1.43,1.43,2.1,-1,440,344.77,124.77,25,284.7761194,64.7761194,440,50,2,554.7,133.333333,0,29,0,0.000519243,
0.59,1.43,1.43,2.1,-1,440,344.77,124.77,25,284.7761194,64.7761194,440,50,2,554.7,147.222222,0,51,0,0.000748986,
0.59,1.43,1.43,2.1,-1,440,344.77,124.77,25,284.7761194,64.7761194,440,50,2,554.7,161.111111,0,51,0,0.000625417,
0.59,1.43,1.43,2.1,-1,440,344.77,124.77,25,284.7761194,64.7761194,440,50,2,554.7,175,0,51,0,0.000530084,
0.59,1.43,1.43,2.1,-1,440,344.77,124.77,25,284.7761194,64.7761194,440,50,2,554.7,188.888888,0,51,0,0.000454996,
0.59,1.43,1.43,2.1,-1,440,344.77,124.77,25,284.7761194,64.7761194,440,50,2,554.7,202.777777,0,51,0,0.000394803,
0.59,1.43,1.43,2.1,-1,440,344.77,124.77,25,284.7761194,64.7761194,440,50,2,554.7,216.666666,0,52,0,0.00035259,
0.59,1.43,1.43,2.1,-1,440,344.77,124.77,25,284.7761194,64.7761194,440,50,2,554.7,230.555555,0,52,0,0.000311389,
0.59,1.43,1.43,2.1,-1,440,344.77,124.77,25,284.7761194,64.7761194,440,50,2,554.7,244.444444,0,52,0,0.000277009,
0.59,1.43,1.43,2.1,-1,440,344.77,124.77,25,284.7761194,64.7761194,440,50,2,554.7,258.333333,0,52,0,0.000248024,
0.59,1.43,1.43,2.1,-1,440,344.77,124.77,25,284.7761194,64.7761194,440,50,2,554.7,272.222222,0,52,0,0.000223361,
0.59,1.43,1.43,2.1,-1,440,344.77,124.77,25,284.7761194,64.7761194,440,50,2,554.7,286.111111,0,52,0,0.000202202,
0.59,1.43,1.43,2.1,-1,440,344.77,124.77,25,284.7761194,64.7761194,440,50,2,554.7,300,0,55,0,0.000194523,
0.59,1.43,1.43,2.1,-1,440,344.77,124.77,25,284.7761194,64.7761194,440,50,2,554.7,50,0,2,0,0.000254648,
0.59,1.43,1.43,2.1,-1,480,376.11,136.11,25,316.119403,76.11940299,480,50,2,606.1,50,0,3,0,0.000381972,
0.59,1.43,1.43,2.1,-1,480,376.11,136.11,25,316.119403,76.11940299,480,50,2,606.1,63.8888888,0,4,0,0.000311932,
0.59,1.43,1.43,2.1,-1,480,376.11,136.11,25,316.119403,76.11940299,480,50,2,606.1,77.7777777,0,8,0,0.000420949,
0.59,1.43,1.43,2.1,-1,480,376.11,136.11,25,316.119403,76.11940299,480,50,2,606.1,91.6666666,0,12,0,0.000454578,
0.59,1.43,1.43,2.1,-1,480,376.11,136.11,25,316.119403,76.11940299,480,50,2,606.1,105.555555,0,16,0,0.000457097,
0.59,1.43,1.43,2.1,-1,480,376.11,136.11,25,316.119403,76.11940299,480,50,2,606.1,119.444444,0,21,0,0.000468531,
0.59,1.43,1.43,2.1,-1,480,376.11,136.11,25,316.119403,76.11940299,480,50,2,606.1,133.333333,0,24,0,0.000429719,
0.59,1.43,1.43,2.1,-1,480,376.11,136.11,25,316.119403,76.11940299,480,50,2,606.1,147.222222,0,35,0,0.00051401,
0.59,1.43,1.43,2.1,-1,480,376.11,136.11,25,316.119403,76.11940299,480,50,2,606.1,161.111111,0,59,0,0.000723522,
0.59,1.43,1.43,2.1,-1,480,376.11,136.11,25,316.119403,76.11940299,480,50,2,606.1,175,0,59,0,0.000613234,
0.59,1.43,1.43,2.1,-1,480,376.11,136.11,25,316.119403,76.11940299,480,50,2,606.1,188.888888,0,59,0,0.000526368,
0.59,1.43,1.43,2.1,-1,480,376.11,136.11,25,316.119403,76.11940299,480,50,2,606.1,202.777777,0,59,0,0.000456732,
0.59,1.43,1.43,2.1,-1,480,376.11,136.11,25,316.119403,76.11940299,480,50,2,606.1,216.666666,0,59,0,0.000400054,
0.59,1.43,1.43,2.1,-1,480,376.11,136.11,25,316.119403,76.11940299,480,50,2,606.1,230.555555,0,59,0,0.000353306,
0.59,1.43,1.43,2.1,-1,480,376.11,136.11,25,316.119403,76.11940299,480,50,2,606.1,244.444444,0,59,0,0.000314298,
0.59,1.43,1.43,2.1,-1,480,376.11,136.11,25,316.119403,76.11940299,480,50,2,606.1,258.333333,0,60,0,0.000286181,
0.59,1.43,1.43,2.1,-1,480,376.11,136.11,25,316.119403,76.11940299,480,50,2,606.1,272.222222,0,60,0,0.000257724,
0.59,1.43,1.43,2.1,-1,480,376.11,136.11,25,316.119403,76.11940299,480,50,2,606.1,286.111111,0,60,0,0.000233309,
0.59,1.43,1.43,2.1,-1,480,376.11,136.11,25,316.119403,76.11940299,480,50,2,606.1,300,0,60,0,0.000212207,
0.59,1.43,1.43,2.1,-1,480,376.11,136.11,25,316.119403,76.11940299,480,50,2,606.1,50,0,3,0,0.000381972,
0.59,1.43,1.43,2.1,-1,520,407.46,147.46,25,347.4626866,87.46268657,520,50,2,657.4,50,0,2,0,0.000254648,
0.59,1.43,1.43,2.1,-1,520,407.46,147.46,25,347.4626866,87.46268657,520,50,2,657.4,63.8888888,0,3,0,0.000233949,
0.59,1.43,1.43,2.1,-1,520,407.46,147.46,25,347.4626866,87.46268657,520,50,2,657.4,77.7777777,0,5,0,0.000263093,
0.59,1.43,1.43,2.1,-1,520,407.46,147.46,25,347.4626866,87.46268657,520,50,2,657.4,91.6666666,0,8,0,0.000303052,
0.59,1.43,1.43,2.1,-1,520,407.46,147.46,25,347.4626866,87.46268657,520,50,2,657.4,105.555555,0,13,0,0.000371391,
0.59,1.43,1.43,2.1,-1,520,407.46,147.46,25,347.4626866,87.46268657,520,50,2,657.4,119.444444,0,16,0,0.000356976,
0.59,1.43,1.43,2.1,-1,520,407.46,147.46,25,347.4626866,87.46268657,520,50,2,657.4,133.333333,0,17,0,0.000304384,
0.59,1.43,1.43,2.1,-1,520,407.46,147.46,25,347.4626866,87.46268657,520,50,2,657.4,147.222222,0,22,0,0.000323092,
0.59,1.43,1.43,2.1,-1,520,407.46,147.46,25,347.4626866,87.46268657,520,50,2,657.4,161.111111,0,35,0,0.000429208,
0.59,1.43,1.43,2.1,-1,520,407.46,147.46,25,347.4626866,87.46268657,520,50,2,657.4,175,0,55,0,0.000571659,
0.59,1.43,1.43,2.1,-1,520,407.46,147.46,25,347.4626866,87.46268657,520,50,2,657.4,188.888888,0,55,0,0.000490682,
0.59,1.43,1.43,2.1,-1,520,407.46,147.46,25,347.4626866,87.46268657,520,50,2,657.4,202.777777,0,55,0,0.000425767,
0.59,1.43,1.43,2.1,-1,520,407.46,147.46,25,347.4626866,87.46268657,520,50,2,657.4,216.666666,0,55,0,0.000372931,
0.59,1.43,1.43,2.1,-1,520,407.46,147.46,25,347.4626866,87.46268657,520,50,2,657.4,230.555555,0,55,0,0.000329353,
0.59,1.43,1.43,2.1,-1,520,407.46,147.46,25,347.4626866,87.46268657,520,50,2,657.4,244.444444,0,55,0,0.00029299,
0.59,1.43,1.43,2.1,-1,520,407.46,147.46,25,347.4626866,87.46268657,520,50,2,657.4,258.333333,0,55,0,0.000262333,
0.59,1.43,1.43,2.1,-1,520,407.46,147.46,25,347.4626866,87.46268657,520,50,2,657.4,272.222222,0,56,0,0.000240542,
0.59,1.43,1.43,2.1,-1,520,407.46,147.46,25,347.4626866,87.46268657,520,50,2,657.4,286.111111,0,56,0,0.000217755,
0.59,1.43,1.43,2.1,-1,520,407.46,147.46,25,347.4626866,87.46268657,520,50,2,657.4,300,0,56,0,0.00019806,
0.59,1.43,1.43,2.1,-1,520,407.46,147.46,25,347.4626866,87.46268657,520,50,2,657.4,50,0,2,0,0.000254648,
0.59,1.43,1.43,2.1,-1,560,438.8,158.8,25,378.8059701,98.80597015,560,50,2,708.8,50,0,2,0,0.000254648,
0.59,1.43,1.43,2.1,-1,560,438.8,158.8,25,378.8059701,98.80597015,560,50,2,708.8,63.8888888,0,2,0,0.000155966,
0.59,1.43,1.43,2.1,-1,560,438.8,158.8,25,378.8059701,98.80597015,560,50,2,708.8,77.7777777,0,4,0,0.000210474,
0.59,1.43,1.43,2.1,-1,560,438.8,158.8,25,378.8059701,98.80597015,560,50,2,708.8,91.6666666,0,5,0,0.000189408,
0.59,1.43,1.43,2.1,-1,560,438.8,158.8,25,378.8059701,98.80597015,560,50,2,708.8,105.555555,0,5,0,0.000142843,
0.59,1.43,1.43,2.1,-1,560,438.8,158.8,25,378.8059701,98.80597015,560,50,2,708.8,119.444444,0,6,0,0.000133866,
0.59,1.43,1.43,2.1,-1,560,438.8,158.8,25,378.8059701,98.80597015,560,50,2,708.8,133.333333,0,10,0,0.000179049,
0.59,1.43,1.43,2.1,-1,560,438.8,158.8,25,378.8059701,98.80597015,560,50,2,708.8,147.222222,0,14,0,0.000205604,
0.59,1.43,1.43,2.1,-1,560,438.8,158.8,25,378.8059701,98.80597015,560,50,2,708.8,161.111111,0,20,0,0.000245262,
0.59,1.43,1.43,2.1,-1,560,438.8,158.8,25,378.8059701,98.80597015,560,50,2,708.8,175,0,34,0,0.000353389,
0.59,1.43,1.43,2.1,-1,560,438.8,158.8,25,378.8059701,98.80597015,560,50,2,708.8,188.888888,0,52,0,0.000463918,
0.59,1.43,1.43,2.1,-1,560,438.8,158.8,25,378.8059701,98.80597015,560,50,2,708.8,202.777777,0,52,0,0.000402544,
0.59,1.43,1.43,2.1,-1,560,438.8,158.8,25,378.8059701,98.80597015,560,50,2,708.8,216.666666,0,52,0,0.00035259,
0.59,1.43,1.43,2.1,-1,560,438.8,158.8,25,378.8059701,98.80597015,560,50,2,708.8,230.555555,0,52,0,0.000311389,
0.59,1.43,1.43,2.1,-1,560,438.8,158.8,25,378.8059701,98.80597015,560,50,2,708.8,244.444444,0,52,0,0.000277009,
0.59,1.43,1.43,2.1,-1,560,438.8,158.8,25,378.8059701,98.80597015,560,50,2,708.8,258.333333,0,53,0,0.000252793,
0.59,1.43,1.43,2.1,-1,560,438.8,158.8,25,378.8059701,98.80597015,560,50,2,708.8,272.222222,0,53,0,0.000227656,
0.59,1.43,1.43,2.1,-1,560,438.8,158.8,25,378.8059701,98.80597015,560,50,2,708.8,286.111111,0,53,0,0.00020609,
0.59,1.43,1.43,2.1,-1,560,438.8,158.8,25,378.8059701,98.80597015,560,50,2,708.8,300,0,54,0,0.000190986,
0.59,1.43,1.43,2.1,-1,560,438.8,158.8,25,378.8059701,98.80597015,560,50,2,708.8,50,0,2,0,0.000254648,
0.59,1.43,1.43,2.1,-1,600,470.14,170.14,25,410.1492537,110.1492537,600,50,2,760.1,50,0,3,0,0.000381972,
0.59,1.43,1.43,2.1,-1,600,470.14,170.14,25,410.1492537,110.1492537,600,50,2,760.1,63.8888888,0,3,0,0.000233949,
0.59,1.43,1.43,2.1,-1,600,470.14,170.14,25,410.1492537,110.1492537,600,50,2,760.1,77.7777777,0,3,0,0.000157856,
0.59,1.43,1.43,2.1,-1,600,470.14,170.14,25,410.1492537,110.1492537,600,50,2,760.1,91.6666666,0,4,0,0.000151526,
0.59,1.43,1.43,2.1,-1,600,470.14,170.14,25,410.1492537,110.1492537,600,50,2,760.1,105.555555,0,5,0,0.000142843,
0.59,1.43,1.43,2.1,-1,600,470.14,170.14,25,410.1492537,110.1492537,600,50,2,760.1,119.444444,0,7,0,0.000156177,
0.59,1.43,1.43,2.1,-1,600,470.14,170.14,25,410.1492537,110.1492537,600,50,2,760.1,133.333333,0,9,0,0.000161145,
0.59,1.43,1.43,2.1,-1,600,470.14,170.14,25,410.1492537,110.1492537,600,50,2,760.1,147.222222,0,10,0,0.00014686,
0.59,1.43,1.43,2.1,-1,600,470.14,170.14,25,410.1492537,110.1492537,600,50,2,760.1,161.111111,0,13,0,0.00015942,
0.59,1.43,1.43,2.1,-1,600,470.14,170.14,25,410.1492537,110.1492537,600,50,2,760.1,175,0,20,0,0.000207876,
0.59,1.43,1.43,2.1,-1,600,470.14,170.14,25,410.1492537,110.1492537,600,50,2,760.1,188.888888,0,36,0,0.000321174,
0.59,1.43,1.43,2.1,-1,600,470.14,170.14,25,410.1492537,110.1492537,600,50,2,760.1,202.777777,0,46,0,0.000356096,
0.59,1.43,1.43,2.1,-1,600,470.14,170.14,25,410.1492537,110.1492537,600,50,2,760.1,216.666666,0,46,0,0.000311906,
0.59,1.43,1.43,2.1,-1,600,470.14,170.14,25,410.1492537,110.1492537,600,50,2,760.1,230.555555,0,46,0,0.000275459,
0.59,1.43,1.43,2.1,-1,600,470.14,170.14,25,410.1492537,110.1492537,600,50,2,760.1,244.444444,0,46,0,0.000245046,
0.59,1.43,1.43,2.1,-1,600,470.14,170.14,25,410.1492537,110.1492537,600,50,2,760.1,258.333333,0,46,0,0.000219405,
0.59,1.43,1.43,2.1,-1,600,470.14,170.14,25,410.1492537,110.1492537,600,50,2,760.1,272.222222,0,46,0,0.000197588,
0.59,1.43,1.43,2.1,-1,600,470.14,170.14,25,410.1492537,110.1492537,600,50,2,760.1,286.111111,0,46,0,0.000178871,
0.59,1.43,1.43,2.1,-1,600,470.14,170.14,25,410.1492537,110.1492537,600,50,2,760.1,300,0,46,0,0.000162692,
0.59,1.43,1.43,2.1,-1,600,470.14,170.14,25,410.1492537,110.1492537,600,50,2,760.1,50,0,3,0,0.000381972,
0.59,1.43,1.53,2.1,-1,120,110.52,50.526,25,60,0,120,50,2,170,50,0,21,0,0.002673805,
0.59,1.43,1.53,2.1,-1,120,110.52,50.526,25,60,0,120,50,2,170,63.8888888,0,21,0,0.001637643,
0.59,1.43,1.53,2.1,-1,120,110.52,50.526,25,60,0,120,50,2,170,77.7777777,0,22,0,0.00115761,
0.59,1.43,1.53,2.1,-1,120,110.52,50.526,25,60,0,120,50,2,170,91.6666666,0,23,0,0.000871275,
0.59,1.43,1.53,2.1,-1,120,110.52,50.526,25,60,0,120,50,2,170,105.555555,0,31,0,0.000885625,
0.59,1.43,1.53,2.1,-1,120,110.52,50.526,25,60,0,120,50,2,170,119.444444,0,39,0,0.000870128,
0.59,1.43,1.53,2.1,-1,120,110.52,50.526,25,60,0,120,50,2,170,133.333333,0,52,0,0.000931057,
0.59,1.43,1.53,2.1,-1,120,110.52,50.526,25,60,0,120,50,2,170,147.222222,0,67,0,0.000983963,
0.59,1.43,1.53,2.1,-1,120,110.52,50.526,25,60,0,120,50,2,170,161.111111,0,78,0,0.00095652,
0.59,1.43,1.53,2.1,-1,120,110.52,50.526,25,60,0,120,50,2,170,175,0,85,0,0.000883473,
0.59,1.43,1.53,2.1,-1,120,110.52,50.526,25,60,0,120,50,2,170,188.888888,0,91,0,0.000811856,
0.59,1.43,1.53,2.1,-1,120,110.52,50.526,25,60,0,120,50,2,170,202.777777,0,95,0,0.000735417,
0.59,1.43,1.53,2.1,-1,120,110.52,50.526,25,60,0,120,50,2,170,216.666666,0,96,0,0.000650935,
0.59,1.43,1.53,2.1,-1,120,110.52,50.526,25,60,0,120,50,2,170,230.555555,0,96,0,0.000574871,
0.59,1.43,1.53,2.1,-1,120,110.52,50.526,25,60,0,120,50,2,170,244.444444,0,96,0,0.000511401,
0.59,1.43,1.53,2.1,-1,120,110.52,50.526,25,60,0,120,50,2,170,258.333333,0,96,0,0.00045789,
0.59,1.43,1.53,2.1,-1,120,110.52,50.526,25,60,0,120,50,2,170,272.222222,0,96,0,0.000412358,
0.59,1.43,1.53,2.1,-1,120,110.52,50.526,25,60,0,120,50,2,170,286.111111,0,96,0,0.000373295,
0.59,1.43,1.53,2.1,-1,120,110.52,50.526,25,60,0,120,50,2,170,300,0,96,0,0.000339531,
0.59,1.43,1.53,2.1,-1,120,110.52,50.526,25,60,0,120,50,2,170,50,0,21,0,0.002673805,
0.59,1.43,1.53,2.1,-1,160,147.36,67.368,25,87.36842105,7.368421053,160,50,2,217.3,50,0,20,0,0.002546481,
0.59,1.43,1.53,2.1,-1,160,147.36,67.368,25,87.36842105,7.368421053,160,50,2,217.3,63.8888888,0,21,0,0.001637643,
0.59,1.43,1.53,2.1,-1,160,147.36,67.368,25,87.36842105,7.368421053,160,50,2,217.3,77.7777777,0,21,0,0.001104991,
0.59,1.43,1.53,2.1,-1,160,147.36,67.368,25,87.36842105,7.368421053,160,50,2,217.3,91.6666666,0,21,0,0.000795512,
0.59,1.43,1.53,2.1,-1,160,147.36,67.368,25,87.36842105,7.368421053,160,50,2,217.3,105.555555,0,21,0,0.00059994,
0.59,1.43,1.53,2.1,-1,160,147.36,67.368,25,87.36842105,7.368421053,160,50,2,217.3,119.444444,0,22,0,0.000490841,
0.59,1.43,1.53,2.1,-1,160,147.36,67.368,25,87.36842105,7.368421053,160,50,2,217.3,133.333333,0,27,0,0.000483434,
0.59,1.43,1.53,2.1,-1,160,147.36,67.368,25,87.36842105,7.368421053,160,50,2,217.3,147.222222,0,33,0,0.000484638,
0.59,1.43,1.53,2.1,-1,160,147.36,67.368,25,87.36842105,7.368421053,160,50,2,217.3,161.111111,0,36,0,0.000441471,
0.59,1.43,1.53,2.1,-1,160,147.36,67.368,25,87.36842105,7.368421053,160,50,2,217.3,175,0,47,0,0.000488509,
0.59,1.43,1.53,2.1,-1,160,147.36,67.368,25,87.36842105,7.368421053,160,50,2,217.3,188.888888,0,57,0,0.000508525,
0.59,1.43,1.53,2.1,-1,160,147.36,67.368,25,87.36842105,7.368421053,160,50,2,217.3,202.777777,0,77,0,0.000596074,
0.59,1.43,1.53,2.1,-1,160,147.36,67.368,25,87.36842105,7.368421053,160,50,2,217.3,216.666666,0,93,0,0.000630593,
0.59,1.43,1.53,2.1,-1,160,147.36,67.368,25,87.36842105,7.368421053,160,50,2,217.3,230.555555,0,105,0,0.000628765,
0.59,1.43,1.53,2.1,-1,160,147.36,67.368,25,87.36842105,7.368421053,160,50,2,217.3,244.444444,0,113,0,0.000601961,
0.59,1.43,1.53,2.1,-1,160,147.36,67.368,25,87.36842105,7.368421053,160,50,2,217.3,258.333333,0,116,0,0.000553283,
0.59,1.43,1.53,2.1,-1,160,147.36,67.368,25,87.36842105,7.368421053,160,50,2,217.3,272.222222,0,120,0,0.000515448,
0.59,1.43,1.53,2.1,-1,160,147.36,67.368,25,87.36842105,7.368421053,160,50,2,217.3,286.111111,0,120,0,0.000466619,
0.59,1.43,1.53,2.1,-1,160,147.36,67.368,25,87.36842105,7.368421053,160,50,2,217.3,300,0,120,0,0.000424414,
0.59,1.43,1.53,2.1,-1,160,147.36,67.368,25,87.36842105,7.368421053,160,50,2,217.3,50,0,20,0,0.002546481,
0.59,1.43,1.53,2.1,-1,200,184.21,84.21,25,124.2105263,24.21052632,200,50,2,274.2,50,0,13,0,0.001655213,
0.59,1.43,1.53,2.1,-1,200,184.21,84.21,25,124.2105263,24.21052632,200,50,2,274.2,63.8888888,0,27,0,0.00210554,
0.59,1.43,1.53,2.1,-1,200,184.21,84.21,25,124.2105263,24.21052632,200,50,2,274.2,77.7777777,0,27,0,0.001420703,
0.59,1.43,1.53,2.1,-1,200,184.21,84.21,25,124.2105263,24.21052632,200,50,2,274.2,91.6666666,0,27,0,0.001022802,
0.59,1.43,1.53,2.1,-1,200,184.21,84.21,25,124.2105263,24.21052632,200,50,2,274.2,105.555555,0,27,0,0.000771351,
0.59,1.43,1.53,2.1,-1,200,184.21,84.21,25,124.2105263,24.21052632,200,50,2,274.2,119.444444,0,27,0,0.000602396,
0.59,1.43,1.53,2.1,-1,200,184.21,84.21,25,124.2105263,24.21052632,200,50,2,274.2,133.333333,0,28,0,0.000501338,
0.59,1.43,1.53,2.1,-1,200,184.21,84.21,25,124.2105263,24.21052632,200,50,2,274.2,147.222222,0,28,0,0.000411208,
0.59,1.43,1.53,2.1,-1,200,184.21,84.21,25,124.2105263,24.21052632,200,50,2,274.2,161.111111,0,30,0,0.000367892,
0.59,1.43,1.53,2.1,-1,200,184.21,84.21,25,124.2105263,24.21052632,200,50,2,274.2,175,0,36,0,0.000374177,
0.59,1.43,1.53,2.1,-1,200,184.21,84.21,25,124.2105263,24.21052632,200,50,2,274.2,188.888888,0,41,0,0.000365781,
0.59,1.43,1.53,2.1,-1,200,184.21,84.21,25,124.2105263,24.21052632,200,50,2,274.2,202.777777,0,47,0,0.000363838,
0.59,1.43,1.53,2.1,-1,200,184.21,84.21,25,124.2105263,24.21052632,200,50,2,274.2,216.666666,0,56,0,0.000379712,
0.59,1.43,1.53,2.1,-1,200,184.21,84.21,25,124.2105263,24.21052632,200,50,2,274.2,230.555555,0,63,0,0.000377259,
0.59,1.43,1.53,2.1,-1,200,184.21,84.21,25,124.2105263,24.21052632,200,50,2,274.2,244.444444,0,75,0,0.000399532,
0.59,1.43,1.53,2.1,-1,200,184.21,84.21,25,124.2105263,24.21052632,200,50,2,274.2,258.333333,0,82,0,0.000391114,
0.59,1.43,1.53,2.1,-1,200,184.21,84.21,25,124.2105263,24.21052632,200,50,2,274.2,272.222222,0,89,0,0.00038229,
0.59,1.43,1.53,2.1,-1,200,184.21,84.21,25,124.2105263,24.21052632,200,50,2,274.2,286.111111,0,100,0,0.000388849,
0.59,1.43,1.53,2.1,-1,200,184.21,84.21,25,124.2105263,24.21052632,200,50,2,274.2,300,0,113,0,0.000399656,
0.59,1.43,1.53,2.1,-1,200,184.21,84.21,25,124.2105263,24.21052632,200,50,2,274.2,50,0,13,0,0.001655213,
0.59,1.43,1.53,2.1,-1,240,221.05,101.05,25,161.0526316,41.05263158,240,50,2,331,50,0,8,0,0.001018592,
0.59,1.43,1.53,2.1,-1,240,221.05,101.05,25,161.0526316,41.05263158,240,50,2,331,63.8888888,0,12,0,0.000935796,
0.59,1.43,1.53,2.1,-1,240,221.05,101.05,25,161.0526316,41.05263158,240,50,2,331,77.7777777,0,28,0,0.001473321,
0.59,1.43,1.53,2.1,-1,240,221.05,101.05,25,161.0526316,41.05263158,240,50,2,331,91.6666666,0,28,0,0.001060683,
0.59,1.43,1.53,2.1,-1,240,221.05,101.05,25,161.0526316,41.05263158,240,50,2,331,105.555555,0,28,0,0.00079992,
0.59,1.43,1.53,2.1,-1,240,221.05,101.05,25,161.0526316,41.05263158,240,50,2,331,119.444444,0,28,0,0.000624707,
0.59,1.43,1.53,2.1,-1,240,221.05,101.05,25,161.0526316,41.05263158,240,50,2,331,133.333333,0,29,0,0.000519243,
0.59,1.43,1.53,2.1,-1,240,221.05,101.05,25,161.0526316,41.05263158,240,50,2,331,147.222222,0,29,0,0.000425894,
0.59,1.43,1.53,2.1,-1,240,221.05,101.05,25,161.0526316,41.05263158,240,50,2,331,161.111111,0,29,0,0.000355629,
0.59,1.43,1.53,2.1,-1,240,221.05,101.05,25,161.0526316,41.05263158,240,50,2,331,175,0,30,0,0.000311814,
0.59,1.43,1.53,2.1,-1,240,221.05,101.05,25,161.0526316,41.05263158,240,50,2,331,188.888888,0,30,0,0.000267645,
0.59,1.43,1.53,2.1,-1,240,221.05,101.05,25,161.0526316,41.05263158,240,50,2,331,202.777777,0,36,0,0.000278684,
0.59,1.43,1.53,2.1,-1,240,221.05,101.05,25,161.0526316,41.05263158,240,50,2,331,216.666666,0,38,0,0.000257662,
0.59,1.43,1.53,2.1,-1,240,221.05,101.05,25,161.0526316,41.05263158,240,50,2,331,230.555555,0,44,0,0.000263483,
0.59,1.43,1.53,2.1,-1,240,221.05,101.05,25,161.0526316,41.05263158,240,50,2,331,244.444444,0,47,0,0.000250373,
0.59,1.43,1.53,2.1,-1,240,221.05,101.05,25,161.0526316,41.05263158,240,50,2,331,258.333333,0,55,0,0.000262333,
0.59,1.43,1.53,2.1,-1,240,221.05,101.05,25,161.0526316,41.05263158,240,50,2,331,272.222222,0,61,0,0.000262019,
0.59,1.43,1.53,2.1,-1,240,221.05,101.05,25,161.0526316,41.05263158,240,50,2,331,286.111111,0,71,0,0.000276083,
0.59,1.43,1.53,2.1,-1,240,221.05,101.05,25,161.0526316,41.05263158,240,50,2,331,300,0,81,0,0.000286479,
0.59,1.43,1.53,2.1,-1,240,221.05,101.05,25,161.0526316,41.05263158,240,50,2,331,50,0,8,0,0.001018592,
0.59,1.43,1.53,2.1,-1,280,257.89,117.89,25,197.8947368,57.89473684,280,50,2,387.8,50,0,6,0,0.000763944,
0.59,1.43,1.53,2.1,-1,280,257.89,117.89,25,197.8947368,57.89473684,280,50,2,387.8,63.8888888,0,7,0,0.000545881,
0.59,1.43,1.53,2.1,-1,280,257.89,117.89,25,197.8947368,57.89473684,280,50,2,387.8,77.7777777,0,10,0,0.000526186,
0.59,1.43,1.53,2.1,-1,280,257.89,117.89,25,197.8947368,57.89473684,280,50,2,387.8,91.6666666,0,19,0,0.000719749,
0.59,1.43,1.53,2.1,-1,280,257.89,117.89,25,197.8947368,57.89473684,280,50,2,387.8,105.555555,0,19,0,0.000542803,
0.59,1.43,1.53,2.1,-1,280,257.89,117.89,25,197.8947368,57.89473684,280,50,2,387.8,119.444444,0,19,0,0.000423909,
0.59,1.43,1.53,2.1,-1,280,257.89,117.89,25,197.8947368,57.89473684,280,50,2,387.8,133.333333,0,19,0,0.000340194,
0.59,1.43,1.53,2.1,-1,280,257.89,117.89,25,197.8947368,57.89473684,280,50,2,387.8,147.222222,0,19,0,0.000279034,
0.59,1.43,1.53,2.1,-1,280,257.89,117.89,25,197.8947368,57.89473684,280,50,2,387.8,161.111111,0,20,0,0.000245262,
0.59,1.43,1.53,2.1,-1,280,257.89,117.89,25,197.8947368,57.89473684,280,50,2,387.8,175,0,20,0,0.000207876,
0.59,1.43,1.53,2.1,-1,280,257.89,117.89,25,197.8947368,57.89473684,280,50,2,387.8,188.888888,0,22,0,0.000196273,
0.59,1.43,1.53,2.1,-1,280,257.89,117.89,25,197.8947368,57.89473684,280,50,2,387.8,202.777777,0,22,0,0.000170307,
