  
 NEG_LENS_THICK (um), NEG_LENS_DIA (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), AIR_GAP (um), DET_RAD (um) ,NUMBEROFRAYS ,BASENUMBEROFRAYS, FLUXDETECTED, BASEFLUXDETECTED    
 N_NEG, NEG_LENS_THICK (um), NEG_LENS_DIA (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), AIR_GAP (um), DET_RAD (um), BASENUMBEROFRAYS ,NUMBEROFRAYS, BASEFLUXDETECTED, FLUXDETECTED    
 -2      , 75               , 100            , 30               , 10               , 2         , 10         ,1                   ,115            , .099999989999999996, 11.5           
 -2      , 75               , 100            , 30               , 10               , 2         , 19.5       ,4                   ,153            , .400000000000000022, 15.3           
 -2      , 75               , 100            , 30               , 10               , 2         , 29         ,9                   ,159            , .899999899999999963, 15.9           
 -2      , 75               , 100            , 30               , 10               , 2         , 38.5       ,15                  ,159            , 1.5                , 15.9           
 -2      , 75               , 100            , 30               , 10               , 2         , 48         ,27                  ,159            , 2.70000000000000017, 15.9           
 -2      , 75               , 100            , 30               , 10               , 2         , 57.5       ,39                  ,159            , 3.89999999999999991, 15.9           
 -2      , 75               , 100            , 30               , 10               , 2         , 67         ,51                  ,159            , 5.09999999999999964, 15.9           
 -2      , 75               , 100            , 30               , 10               , 2         , 76.5       ,65                  ,159            , 6.5                , 15.9           
 -2      , 75               , 100            , 30               , 10               , 2         , 86         ,83                  ,159            , 8.30000000000000071, 15.9           
 -2      , 75               , 100            , 30               , 10               , 2         , 95.5       ,98                  ,159            , 9.79999899999999968, 15.9           
 -2      , 75               , 100            , 30               , 10               , 2         , 105        ,106                 ,159            , 10.5999999999999996, 15.9           
 -2      , 75               , 100            , 30               , 10               , 2         , 114.5      ,119                 ,159            , 11.9000000000000003, 15.9           
 -2      , 75               , 100            , 30               , 10               , 2         , 124        ,128                 ,159            , 12.8000000000000007, 15.9           
