      
          
 N_LENS_CORE, A0, LENS_DIA (um), LENS_HEIGHT (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), DET_RAD (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    
 590       , 2.1           , 0    ,350         , 11.10157646462, .0026813723606514 , 100              , 50        , 30                  , 53             , 3                  , 5.2999999999999998
 590       , 2.1           , 0    ,350         , 11.10157646462, .0026813723606514 , 100              , 75        , 66                  , 110            , 6.59999999999999964, 11                
 590       , 2.1           , 0    ,350         , 11.10157646462, .0026813723606514 , 100              , 100       , 103                 , 187            , 10.3000000000000007, 18.699999999999999
 590       , 2.1           , 0    ,350         , 11.10157646462, .0026813723606514 , 100              , 125       , 129                 , 266            , 12.9000000000000003, 26.600000000000001
 590       , 2.1           , 0    ,350         , 11.10157646462, .0026813723606514 , 100              , 150       , 133                 , 276            , 13.3000000000000007, 27.600000000000001
 590       , 2.1           , 0    ,350         , 11.10157646462, .0026813723606514 , 100              , 175       , 133                 , 276            , 13.3000000000000007, 27.600000000000001
 590       , 2.1           , 0    ,350         , 11.10157646462, .0026813723606514 , 100              , 200       , 137                 , 276            , 13.6999999999999992, 27.600000000000001
 590       , 2.1           , 0    ,350         , 11.10157646462, .0026813723606514 , 100              , 225       , 138                 , 276            , 13.8000000000000007, 27.600000000000001
 590       , 2.1           , 0    ,350         , 11.10157646462, .0026813723606514 , 100              , 250       , 139                 , 276            , 13.9000000000000003, 27.600000000000001
 590       , 2.1           , 0    ,350         , 11.10157646462, .0026813723606514 , 100              , 275       , 139                 , 276            , 13.9000000000000003, 27.600000000000001
 590       , 2.1           , 0    ,350         , 11.10157646462, .0026813723606514 , 100              , 300       , 140                 , 276            , 14                 , 27.600000000000001
 590       , 2.1           , 0    ,350         , 11.10157646462, .0026813723606514 , 100              , 325       , 140                 , 276            , 14                 , 27.600000000000001
 590       , 2.1           , 0    ,350         , 11.10157646462, .0026813723606514 , 100              , 350       , 140                 , 276            , 14                 , 27.600000000000001
 590       , 2.1           , 0    ,350         , 11.10157646462, .0026813723606514 , 100              , 375       , 140                 , 276            , 14                 , 27.600000000000001
 590       , 2.1           , 0    ,350         , 11.10157646462, .0026813723606514 , 100              , 400       , 140                 , 276            , 14                 , 27.600000000000001
 590       , 2.1           , 0    ,350         , 11.10157646462, .0026813723606514 , 100              , 50        , 30                  , 53             , 3                  , 5.2999999999999998
 EM_WAVE,.59       ,AIR_GAP, 2          
          
 a0 = -0.5 x a^2, height = 0.25 x pitch
 WAVELEN, N_LENS_CORE, A0, LENS_DIA (um), LENS_HEIGHT (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), DET_RAD (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    
 590       , 2.1           , 0    ,250         , 11.10157646462, .0026813723606514 , .01              , 125       , 138                 , 290            , 13.8000000000000007, 29                
 590       , 2.1           , 0    ,250         , 11.10157646462, .0026813723606514 , 10.01            , 125       , 137                 , 300            , 13.6999999999999992, 30                
 590       , 2.1           , 0    ,250         , 11.10157646462, .0026813723606514 , 20.01            , 125       , 131                 , 273            , 13.0999999999999996, 27.3              
 590       , 2.1           , 0    ,250         , 11.10157646462, .0026813723606514 , 30.01            , 125       , 143                 , 278            , 14.3000000000000007, 27.8              
 590       , 2.1           , 0    ,250         , 11.10157646462, .0026813723606514 , 40.01            , 125       , 138                 , 302            , 13.8000000000000007, 30.199999999999999
 590       , 2.1           , 0    ,250         , 11.10157646462, .0026813723606514 , 50.01            , 125       , 140                 , 291            , 14                 , 29.100000000000001
 590       , 2.1           , 0    ,250         , 11.10157646462, .0026813723606514 , 60.01            , 125       , 131                 , 308            , 13.0999999999999996, 30.8              
 590       , 2.1           , 0    ,250         , 11.10157646462, .0026813723606514 , 70.01            , 125       , 145                 , 262            , 14.5               , 26.199999999999999
 590       , 2.1           , 0    ,250         , 11.10157646462, .0026813723606514 , 80.01            , 125       , 142                 , 288            , 14.1999999999999992, 28.8              
 590       , 2.1           , 0    ,250         , 11.10157646462, .0026813723606514 , 90.01            , 125       , 124                 , 299            , 12.4000000000000003, 29.899999999999998
 590       , 2.1           , 0    ,250         , 11.10157646462, .0026813723606514 , 100.01           , 125       , 129                 , 264            , 12.9000000000000003, 26.399999999999998
 590       , 2.1           , 0    ,250         , 11.10157646462, .0026813723606514 , 110.01           , 125       , 128                 , 241            , 12.8000000000000007, 24.100000000000001
 590       , 2.1           , 0    ,250         , 11.10157646462, .0026813723606514 , 120.01           , 125       , 107                 , 231            , 10.6999999999999992, 23.100000000000001
 590       , 2.1           , 0    ,250         , 11.10157646462, .0026813723606514 , 130.01           , 125       , 105                 , 209            , 10.5               , 20.899999999999998
 590       , 2.1           , 0    ,250         , 11.10157646462, .0026813723606514 , 140.01           , 125       , 97                  , 182            , 9.69999900000000003, 18.199999999999999
 590       , 2.1           , 0    ,250         , 11.10157646462, .0026813723606514 , 150.01           , 125       , 92                  , 175            , 9.19999900000000003, 17.5              
 590       , 2.1           , 0    ,250         , 11.10157646462, .0026813723606514 , 160.01           , 125       , 88                  , 144            , 8.79999899999999968, 14.4              
 590       , 2.1           , 0    ,250         , 11.10157646462, .0026813723606514 , 170.01           , 125       , 70                  , 133            , 7                  , 13.3              
 590       , 2.1           , 0    ,250         , 11.10157646462, .0026813723606514 , 180.01           , 125       , 62                  , 119            , 6.20000000000000017, 11.9              
 590       , 2.1           , 0    ,250         , 11.10157646462, .0026813723606514 , 190.01           , 125       , 62                  , 116            , 6.20000000000000017, 11.599999999999999
 590       , 2.1           , 0    ,250         , 11.10157646462, .0026813723606514 , 200.01           , 125       , 53                  , 108            , 5.29999999999999982, 10.8              
 590       , 2.1           , 0    ,250         , 11.10157646462, .0026813723606514 , 200.01           , 125       , 53                  , 108            , 5.29999999999999982, 10.8              
 EM_WAVE,.59       ,AIR_GAP, 2          
          
 a0 = -0.5 x a^2, height = 0.25 x pitch
 WAVELEN, N_LENS_CORE, A0, LENS_DIA (um), LENS_HEIGHT (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), DET_RAD (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    
 590       , 2.1           , 0    ,250         , 15.7          , .0037920331582056 , 60               , 125       , 136                 , 185            , 13.5999999999999996, 18.5              
 590       , 2.1           , 0    ,250         , 11.10157646462, .0026813723606514 , 60               , 125       , 131                 , 308            , 13.0999999999999996, 30.8              
 590       , 2.1           , 0    ,250         , 9.064399226277, .0021893313646660 , 60               , 125       , 134                 , 252            , 13.4000000000000003, 25.199999999999999
 590       , 2.1           , 0    ,250         , 7.85          , .0018960165791028 , 60               , 125       , 136                 , 224            , 13.5999999999999996, 22.399999999999998
 590       , 2.1           , -.001,250         , 7.021253449349, .0016958487829362 , 60               , 125       , 134                 , 198            , 13.4000000000000003, 19.8              
 590       , 2.1           , -.001,250         , 6.409498160282, .0015480910542197 , 60               , 125       , 138                 , 186            , 13.8000000000000007, 18.600000000000001
 590       , 2.1           , -.002,250         , 5.934042226244, .0014332538142751 , 60               , 125       , 136                 , 163            , 13.5999999999999996, 16.3              
 590       , 2.1           , -.003,250         , 5.550788232314, .0013406861803257 , 60               , 125       , 136                 , 145            , 13.5999999999999996, 14.5              
 590       , 2.1           , -.004,250         , 5.233333333333, .0012640110527352 , 60               , 125       , 134                 , 137            , 13.4000000000000003, 13.699999999999999
 590       , 2.1           , -.005,250         , 4.964775926464, .0011991461742811 , 60               , 125       , 136                 , 107            , 13.5999999999999996, 10.699999999999999
 590       , 2.1           , -.006,250         , 4.73372810987 , .0011433410162140 , 60               , 125       , 138                 , 95             , 13.8000000000000007, 9.4999990000000007
 590       , 2.1           , -.007,250         , 4.532199613138, .0010946656823330 , 60               , 125       , 135                 , 70             , 13.5               , 7                 
 590       , 2.1           , -.008,250         , 4.354396540368, .0010517207684746 , 60               , 125       , 138                 , 53             , 13.8000000000000007, 5.2999999999999998
 590       , 2.1           , -.009,250         , 4.196001498025, .0010134634912348 , 60               , 125       , 138                 , 39             , 13.8000000000000007, 3.8999999999999999
 590       , 2.1           , -.011,250         , 4.05372256903 , .0009790987513331 , 60               , 125       , 130                 , 39             , 13                 , 3.8999999999999999
 590       , 2.1           , -.012,250         , 3.925         , .0009480082895514 , 60               , 125       , 134                 , 48             , 13.4000000000000003, 4.7999999999999998
 590       , 2.1           , -.014,250         , 3.80780931307 , .0009197031321839 , 60               , 125       , 136                 , 41             , 13.5999999999999996, 4.0999999999999996
 590       , 2.1           , -.016,250         , 3.700525488209, .0008937907868838 , 60               , 125       , 132                 , 24             , 13.1999999999999992, 2.3999999999999999
 590       , 2.1           , -.018,250         , 3.601827021767, .0008699520698512 , 60               , 125       , 136                 , 23             , 13.5999999999999996, 2.2999999999999998
 590       , 2.1           , -.02 ,250         , 3.510626724674, .0008479243914681 , 60               , 125       , 136                 , 29             , 13.5999999999999996, 2.8999999999999999
 590       , 2.1           , -.022,250         , 3.426020876705, .0008274894754885 , 60               , 125       , 132                 , 14             , 13.1999999999999992, 1.3999999999999999
 590       , 2.1           , -.022,250         , 3.426020876705, .0008274894754885 , 60               , 125       , 132                 , 14             , 13.1999999999999992, 1.3999999999999999
 EM_WAVE,.59       ,AIR_GAP, 2          
          
