      
          
 N_LENS_CORE, A0, LENS_DIA (um), LENS_HEIGHT (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), DET_RAD (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    
 1.7           , -.045,100         , 2.86641471761 , .0008552276521813 , 50               , 50        , 99                  , 7              , 9.89999899999999932, .69999999999999995
 EM_WAVE,.59       ,AIR_GAP, 2          
          
 N_LENS_CORE, A0, LENS_DIA (um), LENS_HEIGHT (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), DET_RAD (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    
 1.7           , -.05 ,100         , 14.89432777939, -.00444388947947  , 50               , 50        , 68                  , 1              , 6.79999999999999982, .09999998999999999
 1.7           , -.075,100         , 12.16116770709, -.003628420566008 , 50               , 50        , 74                  , 0              , 7.40000000000000035, 0                 
 1.7           , -.1  ,100         , 10.53188017402, -.003142304385776 , 50               , 50        , 73                  , 0              , 7.29999999999999982, 0                 
 1.7           , -.12 ,100         , 9.42          , -.002810562485037 , 50               , 50        , 77                  , 0              , 7.70000000000000017, 0                 
 1.7           , -.15 ,100         , 8.599244152831, -.002565680787221 , 50               , 50        , 82                  , 0              , 8.19999999999999928, 0                 
 1.7           , -.075,100         , 12.16116770709, -.003628420566008 , 50               , 50        , 74                  , 0              , 7.40000000000000035, 0                 
 EM_WAVE,.59       ,AIR_GAP, 2          
          
 N_LENS_CORE, A0, LENS_DIA (um), LENS_HEIGHT (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), DET_RAD (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    
 1.7           , -.05 ,50          , 14.89432777939, .0068647095769379 , 25               , 25        , 38                  , 9              , 3.79999999999999982, .89999989999999996
 1.7           , -.075,50          , 12.16116770709, .0073715592827534 , 25               , 25        , 45                  , 6              , 4.5                , .59999999999999997
 1.7           , -.1  ,50          , 10.53188017402, .0042027984003292 , 25               , 25        , 49                  , 8              , 4.90000000000000035, .80000000000000004
 1.7           , -.12 ,50          , 9.42          , .0033039668793020 , 25               , 25        , 54                  , 7              , 5.40000000000000035, .69999999999999995
 1.7           , -.15 ,50          , 8.599244152831, .0028454454139379 , 25               , 25        , 54                  , 7              , 5.40000000000000035, .69999999999999995
 1.7           , -.075,50          , 12.16116770709, .0193248603533939 , 25               , 25        , 45                  , 7              , 4.5                , .69999999999999995
 EM_WAVE,.59       ,AIR_GAP, 2          
          
 N_LENS_CORE, A0, LENS_DIA (um), LENS_HEIGHT (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), DET_RAD (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    
 N_LENS_CORE, A0, LENS_DIA (um), LENS_HEIGHT (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), DET_RAD (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    
 2.1           , 0    ,50          , 47.1          , -.012131155783614 , 25               , 25        , 16                  , 3              , 1.60000000000000008, .29999999999999998
 2.1           , 0    ,50          , 25.47807698257, -.009357688473076 , 25               , 25        , 26                  , 24             , 2.60000000000000008, 2.3999999999999999
 2.1           , -.001,50          , 19.4984674106 , .0366751384160574 , 25               , 25        , 32                  , 123            , 3.20000000000000017, 12.3              
 2.1           , -.003,50          , 16.39563119265, .006283653982705  , 25               , 25        , 35                  , 69             , 3.5                , 6.9000000000000003
 2.1           , -.005,50          , 14.41911804942, .0043524633370352 , 25               , 25        , 39                  , 35             , 3.89999999999999991, 3.5               
 2.1           , 0    ,50          , 47.1          , -.011471229997445 , 25               , 25        , 16                  , 3              , 1.60000000000000008, .29999999999999998
 EM_WAVE,.59       ,AIR_GAP, 2          
          
 N_LENS_CORE, A0, LENS_DIA (um), LENS_HEIGHT (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), DET_RAD (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    
 height = 0.25 x pitch /
 N_LENS_CORE, A0, LENS_DIA (um), LENS_HEIGHT (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), DET_RAD (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    
 height = 0.25 x pitch /
 N_LENS_CORE, A0, LENS_DIA (um), LENS_HEIGHT (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), DET_RAD (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    
 height = 0.25 x pitch /
 N_LENS_CORE, A0, LENS_DIA (um), LENS_HEIGHT (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), DET_RAD (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    
 height = 0.25 x pitch /
 N_LENS_CORE, A0, LENS_DIA (um), LENS_HEIGHT (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), DET_RAD (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    
 2.1           , -.005,50          , 4.806372683142, .0011608869162529 , 25               , 25        , 61                  , 100            , 6.09999999999999964, 9.9999990000000007
 2.1           , -.011,50          , 4.038346298824, .0009753849088827 , 25               , 25        , 56                  , 47             , 5.59999999999999964, 4.7000000000000001
 2.1           , -.019,50          , 3.549993539027, .0008574326886247 , 25               , 25        , 63                  , 20             , 6.29999999999999982, 2                 
 2.1           , -.028,50          , 3.204526551301, .0007739917795469 , 25               , 25        , 62                  , 8              , 6.20000000000000017, .80000000000000004
 2.1           , -.04 ,50          , 2.943577529806, .0007109645603042 , 25               , 25        , 60                  , 9              , 6                  , .89999989999999996
 2.1           , -.054,50          , 2.737493171615, .0006611888456769 , 25               , 25        , 67                  , 7              , 6.70000000000000017, .69999999999999995
 2.1           , -.069,50          , 2.569400954689, .0006205894023507 , 25               , 25        , 64                  , 5              , 6.40000000000000035, .5                
 2.1           , -.087,50          , 2.42890013926 , .0005866541315952 , 25               , 25        , 68                  , 9              , 6.79999999999999982, .89999989999999996
 2.1           , -.1  ,50          , 2.309184228898, .0005577390550565 , 25               , 25        , 65                  , 3              , 6.5                , .29999999999999998
 2.1           , -.12 ,50          , 2.205587035263, .0005327171446513 , 25               , 25        , 67                  , 2              , 6.70000000000000017, .20000000000000001
 2.1           , -.12 ,50          , 2.205587035263, .0005327171446513 , 25               , 25        , 67                  , 2              , 6.70000000000000017, .20000000000000001
 EM_WAVE,.59       ,AIR_GAP, 2          
          
 height = 0.25 x pitch /
 N_LENS_CORE, A0, LENS_DIA (um), LENS_HEIGHT (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), DET_RAD (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    
 2.1           , 0    ,50          , 11.10157646462, .0026813723606514 , 25               , 25        , 47                  , 75             , 4.70000000000000017, 7.5               
