 bk-7 ball   
 N_LENS, LENS_F (um), PDMS_LENS_DET (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    
 1.77      , 325.36764 , 220              , 4                   , 30             , .400000000000000022, 3                 
 1.77      , 325.36764 , 230              , 6                   , 41             , .599999999999999977, 4.0999999999999996
 1.77      , 325.36764 , 240              , 6                   , 33             , .599999999999999977, 3.2999999999999998
 1.77      , 325.36764 , 250              , 5                   , 31             , .5                 , 3.1               
 1.77      , 325.36764 , 260              , 5                   , 37             , .5                 , 3.7000000000000001
 1.77      , 325.36764 , 270              , 5                   , 33             , .5                 , 3.2999999999999998
 1.77      , 325.36764 , 280              , 5                   , 26             , .5                 , 2.6               
 1.77      , 325.36764 , 290              , 5                   , 29             , .5                 , 2.8999999999999999
 1.77      , 325.36764 , 300              , 4                   , 37             , .400000000000000022, 3.7000000000000001
 1.77      , 325.36764 , 280              , 5                   , 26             , .5                 , 2.6               
 EM_WAVE,.59       ,AIR_GAP,         2.,LENS_DIA,250        ,DET_RAD,125         
          
 cubic zirconia ball   
 N_LENS, LENS_F (um), PDMS_LENS_DET (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    
 2.177     , 182.14524 , 10               , 13                  , 127            , 1.30000000000000004, 12.699999999999999
 2.177     , 182.14524 , 20               , 12                  , 113            , 1.19999999999999995, 11.3              
 2.177     , 182.14524 , 30               , 11                  , 111            , 1.10000000000000008, 11.099999999999999
 2.177     , 182.14524 , 40               , 14                  , 130            , 1.39999999999999991, 13                
 2.177     , 182.14524 , 50               , 12                  , 122            , 1.19999999999999995, 12.199999999999999
 2.177     , 182.14524 , 60               , 12                  , 115            , 1.19999999999999995, 11.5              
 2.177     , 182.14524 , 70               , 11                  , 115            , 1.10000000000000008, 11.5              
 2.177     , 182.14524 , 80               , 13                  , 124            , 1.30000000000000004, 12.4              
 2.177     , 182.14524 , 90               , 10                  , 112            , .999999900000000052, 11.199999999999999
 2.177     , 182.14524 , 100              , 11                  , 102            , 1.10000000000000008, 10.199999999999999
 2.177     , 182.14524 , 110              , 10                  , 110            , .999999900000000052, 11                
 2.177     , 182.14524 , 120              , 10                  , 108            , .999999900000000052, 10.8              
 2.177     , 182.14524 , 130              , 10                  , 115            , .999999900000000052, 11.5              
 2.177     , 182.14524 , 140              , 9                   , 116            , .899999899999999963, 11.599999999999999
 2.177     , 182.14524 , 150              , 10                  , 114            , .999999900000000052, 11.4              
 2.177     , 182.14524 , 160              , 10                  , 108            , .999999900000000052, 10.8              
 2.177     , 182.14524 , 170              , 10                  , 115            , .999999900000000052, 11.5              
 2.177     , 182.14524 , 180              , 10                  , 111            , .999999900000000052, 11.099999999999999
 2.177     , 182.14524 , 190              , 8                   , 113            , .800000000000000044, 11.3              
 2.177     , 182.14524 , 200              , 8                   , 103            , .800000000000000044, 10.3              
 2.177     , 182.14524 , 210              , 8                   , 104            , .800000000000000044, 10.4              
 2.177     , 182.14524 , 220              , 7                   , 115            , .699999999999999955, 11.5              
 2.177     , 182.14524 , 230              , 8                   , 101            , .800000000000000044, 10.099999999999999
 2.177     , 182.14524 , 240              , 7                   , 97             , .699999999999999955, 9.699999          
 2.177     , 182.14524 , 250              , 5                   , 107            , .5                 , 10.699999999999999
 2.177     , 182.14524 , 260              , 5                   , 96             , .5                 , 9.5999990000000003
 2.177     , 182.14524 , 270              , 4                   , 114            , .400000000000000022, 11.4              
 2.177     , 182.14524 , 280              , 5                   , 100            , .5                 , 9.9999990000000007
 2.177     , 182.14524 , 290              , 5                   , 113            , .5                 , 11.3              
 2.177     , 182.14524 , 300              , 5                   , 99             , .5                 , 9.8999989999999993
 2.177     , 182.14524 , 260              , 5                   , 96             , .5                 , 9.5999990000000003
 EM_WAVE,.59       ,AIR_GAP,         2.,LENS_DIA,250        ,DET_RAD,125         
          
