 N_LENS_CORE, A0, LENS_HEIGHT (um), LENS_X, LENS_Y, LENS_XPCH (um), LENS_YPCH (um), LENS_DIA (um), DET_RAD (um), PDMS_LENS_DET (um), BASENRAYS, NRAYS,  BASEFLUX, FLUX    
 1.7            , .005 , 15            , 3        , 3        , 56.25       , 56.25       , 50         , 84.375    , 10                , 25               , 136                 , 67             , 13.5999999999999996, 6.7000000000000001
 EM_WAVE,.59       ,AIR_GAP, 2           
          
 N_LENS_CORE, A0, LENS_HEIGHT (um), LENS_X, LENS_Y, LENS_XPCH (um), LENS_YPCH (um), LENS_DIA (um), DET_RAD (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), BASENRAYS, NRAYS,  BASEFLUX, FLUX    
 1.7            , .005 , 3.7052        , 1        , 3        , 56.25       , 56.25       , 50         , 84.375    , 10                , 25               , 139                 , 87             , 13.9000000000000003, 8.699999          
 1.7            , .005 , 3.7052        , 2        , 3        , 56.25       , 56.25       , 50         , 84.375    , 10                , 25               , 139                 , 94             , 13.9000000000000003, 9.3999989999999993
 1.7            , .005 , 3.7052        , 3        , 3        , 56.25       , 56.25       , 50         , 84.375    , 10                , 25               , 139                 , 93             , 13.9000000000000003, 9.2999989999999996
 1.7            , .005 , 3.7052        , 4        , 3        , 56.25       , 56.25       , 50         , 84.375    , 10                , 25               , 139                 , 92             , 13.9000000000000003, 9.199999          
 1.7            , .005 , 3.7052        , 5        , 3        , 56.25       , 56.25       , 50         , 84.375    , 10                , 25               , 139                 , 88             , 13.9000000000000003, 8.7999989999999996
 1.7            , .005 , 3.7052        , 1        , 3        , 56.25       , 56.25       , 50         , 84.375    , 10                , 25               , 139                 , 87             , 13.9000000000000003, 8.699999          
 EM_WAVE,.59       ,AIR_GAP, 2           
          
 N_LENS_CORE, A0, LENS_HEIGHT (um), LENS_X, LENS_Y, LENS_XPCH (um), LENS_YPCH (um), LENS_DIA (um), DET_RAD (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), BASENRAYS, NRAYS,  BASEFLUX, FLUX    
 1.7            , .005 , 3.7052        , 1        , 3        , 56.25       , 56.25       , 50         , 28.125    , 10                , 25               , 57                  , 62             , 5.70000000000000017, 6.2000000000000001
 1.7            , .005 , 3.7052        , 2        , 3        , 56.25       , 56.25       , 50         , 56.25     , 10                , 25               , 131                 , 89             , 13.0999999999999996, 8.8999989999999993
 1.7            , .005 , 3.7052        , 3        , 3        , 56.25       , 56.25       , 50         , 84.375    , 10                , 25               , 139                 , 93             , 13.9000000000000003, 9.2999989999999996
 1.7            , .005 , 3.7052        , 4        , 3        , 56.25       , 56.25       , 50         , 112.5     , 10                , 25               , 139                 , 93             , 13.9000000000000003, 9.2999989999999996
 1.7            , .005 , 3.7052        , 5        , 3        , 56.25       , 56.25       , 50         , 140.625   , 10                , 25               , 139                 , 90             , 13.9000000000000003, 8.9999990000000007
 1.7            , .005 , 3.7052        , 1        , 3        , 56.25       , 56.25       , 50         , 28.125    , 10                , 25               , 57                  , 62             , 5.70000000000000017, 6.2000000000000001
 EM_WAVE,.59       ,AIR_GAP, 2           
          
 N_LENS_CORE, A0, LENS_HEIGHT (um), LENS_X, LENS_Y, LENS_XPCH (um), LENS_YPCH (um), LENS_DIA (um), DET_RAD (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), BASENRAYS, NRAYS,  BASEFLUX, FLUX    
 1.7            , .005 , 3.7052        , 3        , 1        , 56.25       , 56.25       , 50         , 84.375    , 10                , 25               , 139                 , 80             , 13.9000000000000003, 8                 
 1.7            , .005 , 3.7052        , 3        , 2        , 56.25       , 56.25       , 50         , 84.375    , 10                , 25               , 139                 , 85             , 13.9000000000000003, 8.4999990000000007
 1.7            , .005 , 3.7052        , 3        , 3        , 56.25       , 56.25       , 50         , 84.375    , 10                , 25               , 139                 , 93             , 13.9000000000000003, 9.2999989999999996
 1.7            , .005 , 3.7052        , 3        , 4        , 56.25       , 56.25       , 50         , 84.375    , 10                , 25               , 139                 , 86             , 13.9000000000000003, 8.5999990000000003
 1.7            , .005 , 3.7052        , 3        , 5        , 56.25       , 56.25       , 50         , 84.375    , 10                , 25               , 139                 , 92             , 13.9000000000000003, 9.199999          
 1.7            , .005 , 3.7052        , 3        , 1        , 56.25       , 56.25       , 50         , 84.375    , 10                , 25               , 139                 , 80             , 13.9000000000000003, 8                 
 EM_WAVE,.59       ,AIR_GAP, 2           
          
 N_LENS_CORE, A0, LENS_HEIGHT (um), LENS_X, LENS_Y, LENS_XPCH (um), LENS_YPCH (um), LENS_DIA (um), DET_RAD (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), BASENRAYS, NRAYS,  BASEFLUX, FLUX    
 1.7            , .005 , 3.7052        , 3        , 1        , 56.25       , 56.25       , 50         , 28.125    , 10                , 25               , 57                  , 63             , 5.70000000000000017, 6.2999999999999998
 1.7            , .005 , 3.7052        , 3        , 2        , 56.25       , 56.25       , 50         , 56.25     , 10                , 25               , 131                 , 73             , 13.0999999999999996, 7.2999999999999998
 1.7            , .005 , 3.7052        , 3        , 3        , 56.25       , 56.25       , 50         , 84.375    , 10                , 25               , 139                 , 93             , 13.9000000000000003, 9.2999989999999996
 1.7            , .005 , 3.7052        , 3        , 4        , 56.25       , 56.25       , 50         , 112.5     , 10                , 25               , 139                 , 89             , 13.9000000000000003, 8.8999989999999993
 1.7            , .005 , 3.7052        , 3        , 5        , 56.25       , 56.25       , 50         , 140.625   , 10                , 25               , 139                 , 95             , 13.9000000000000003, 9.4999990000000007
 1.7            , .005 , 3.7052        , 3        , 1        , 56.25       , 56.25       , 50         , 28.125    , 10                , 25               , 57                  , 63             , 5.70000000000000017, 6.2999999999999998
 EM_WAVE,.59       ,AIR_GAP, 2           
          
