 N_LENS_CORE, SQRTA, LENS_HEIGHT (um), LENS_X, LENS_Y, LENS_XPCH (um), LENS_YPCH (um), LENS_DIA (um), DET_RAD (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), BASENRAYS, NRAYS,  BASEFLUX, FLUX    
 1.75           , .000608 , 25.82236842105, 3        , 3        , 45          , 45          , 20         , 67.5      , 2                 , 2                , 132                 , 156            , 13.1999999999999992, 15.599999999999999
 1.75           , .000608 , 25.82236842105, 3        , 3        , 50          , 50          , 20         , 75        , 2                 , 2                , 133                 , 162            , 13.3000000000000007, 16.199999999999999
 1.75           , .000608 , 25.82236842105, 3        , 3        , 55          , 55          , 20         , 82.5      , 2                 , 2                , 133                 , 154            , 13.3000000000000007, 15.4              
 1.75           , .000608 , 25.82236842105, 3        , 3        , 60          , 60          , 20         , 90        , 2                 , 2                , 133                 , 161            , 13.3000000000000007, 16.100000000000001
 1.75           , .000608 , 25.82236842105, 3        , 3        , 25          , 25          , 20         , 37.5      , 2                 , 2                , 104                 , 99             , 10.4000000000000003, 9.8999989999999993
 EM_WAVE,.59       ,AIR_GAP, 2           
          
 N_LENS_CORE, SQRTA, LENS_HEIGHT (um), LENS_X, LENS_Y, LENS_XPCH (um), LENS_YPCH (um), LENS_DIA (um), DET_RAD (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), BASENRAYS, NRAYS,  BASEFLUX, FLUX    
 1.75           , .000608 , 25.82236842105, 2        , 2        , 15          , 15          , 10         , 15        , 2                 , 2                , 22                  , 48             , 2.20000000000000017, 4.7999999999999998
 1.75           , .000608 , 25.82236842105, 3        , 3        , 15          , 15          , 10         , 22.5      , 2                 , 2                , 48                  , 70             , 4.79999999999999982, 7                 
 1.75           , .000608 , 25.82236842105, 4        , 4        , 15          , 15          , 10         , 30        , 2                 , 2                , 76                  , 90             , 7.59999999999999964, 8.9999990000000007
 1.75           , .000608 , 25.82236842105, 5        , 5        , 15          , 15          , 10         , 37.5      , 2                 , 2                , 104                 , 111            , 10.4000000000000003, 11.099999999999999
 1.75           , .000608 , 25.82236842105, 6        , 6        , 15          , 15          , 10         , 45        , 2                 , 2                , 120                 , 119            , 12                 , 11.9              
 1.75           , .000608 , 25.82236842105, 2        , 2        , 15          , 15          , 10         , 15        , 2                 , 2                , 22                  , 48             , 2.20000000000000017, 4.7999999999999998
 EM_WAVE,.59       ,AIR_GAP, 2           
          
