    
   BASELINE = 1    , complete set with tolerances for, detector distribution, bare channel, constant laser position
   EX_POW (W), SPOT_DIA, N_LENS, LENS_DIA (um), TOL (um), EFL (um), PDMS_LENS_DET (um), WD_PDMS, ANG, X_SHIFT, DIFF_X, DET_RAD (um), EX_DET_R, EX_DET_F, EX_SPOT_R, EX_SPOT_F, SPOT_DET_R, SPOT_DET_F, THETA, SNR
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 270              , 545       , 38.84731, 449      , 0          , 196       , 0          , 0          , 3273        , 118.8845    , 295          , 19839250     , 19.77982, -1    
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 270              , 545       , 38.84731, 449      , 0          , 256       , 0          , 0          , 3273        , 118.8845    , 491          , 33020570     , 25.60431, -1    
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 270              , 545       , 38.84731, 449      , 0          , 324       , 0          , 0          , 3273        , 118.8845    , 727          , 48891580     , 31.28442, -1    
 , ,, , , ,320             
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 320              , 595       , 36.4679 , 449      , 0          , 36        , 0          , 0          , 3038        , 109.3833    , 8            , 538012.9     , 3.241571, -1    
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 320              , 595       , 36.4679 , 449      , 0          , 64        , 0          , 0          , 3038        , 109.3833    , 46           , 3093572      , 7.777948, -1    
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 320              , 595       , 36.4679 , 449      , 0          , 100       , 0          , 0          , 3038        , 109.3833    , 99           , 6657907      , 11.42061, -1    
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 320              , 595       , 36.4679 , 449      , 0          , 144       , 0          , 0          , 3038        , 109.3833    , 183          , 12307040     , 15.54933, -1    
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 320              , 595       , 36.4679 , 449      , 0          , 196       , 0          , 0          , 3038        , 109.3833    , 309          , 20780730     , 20.24856, -1    
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 320              , 595       , 36.4679 , 449      , 0          , 256       , 0          , 0          , 3038        , 109.3833    , 462          , 31070210     , 24.82423, -1    
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 320              , 595       , 36.4679 , 449      , 0          , 324       , 0          , 0          , 3038        , 109.3833    , 641          , 43108110     , 29.33151, -1    
 , , ,250        , 0     
 , ,, , , ,20              
   .0004    ,         25, 1.76      , 250        , 0     , 333.33 , 20               , 478.333333, 42.45136, 449      , 0          , 36        , 0          , 0          , 3901        , 128.2044    , 17           , 1143283      , 4.72607 , -1    
   .0004    ,         25, 1.76      , 250        , 0     , 333.33 , 20               , 478.333333, 42.45136, 449      , 0          , 64        , 0          , 0          , 3901        , 128.2044    , 57           , 3833359      , 8.659713, -1    
   .0004    ,         25, 1.76      , 250        , 0     , 333.33 , 20               , 478.333333, 42.45136, 449      , 0          , 100       , 0          , 0          , 3901        , 128.2044    , 136          , 9146260      , 13.39403, -1    
   .0004    ,         25, 1.76      , 250        , 0     , 333.33 , 20               , 478.333333, 42.45136, 449      , 0          , 144       , 0          , 0          , 3901        , 128.2044    , 251          , 16880230     , 18.23153, -1    
   .0004    ,         25, 1.76      , 250        , 0     , 333.33 , 20               , 478.333333, 42.45136, 449      , 0          , 196       , 0          , 0          , 3901        , 128.2044    , 426          , 28649300     , 23.82266, -1    
   .0004    ,         25, 1.76      , 250        , 0     , 333.33 , 20               , 478.333333, 42.45136, 449      , 0          , 256       , 0          , 0          , 3901        , 128.2044    , 636          , 42772170     , 29.21433, -1    
   .0004    ,         25, 1.76      , 250        , 0     , 333.33 , 20               , 478.333333, 42.45136, 449      , 0          , 324       , 0          , 0          , 3901        , 128.2044    , 905          , 60862220     , 35.01518, -1    
 , ,, , , ,70              
   .0004    ,         25, 1.76      , 250        , 0     , 333.33 , 70               , 528.333333, 39.69946, 449      , 0          , 36        , 0          , 0          , 3420        , 124.2364    , 17           , 1143280      , 4.72607 , -1    
   .0004    ,         25, 1.76      , 250        , 0     , 333.33 , 70               , 528.333333, 39.69946, 449      , 0          , 64        , 0          , 0          , 3420        , 124.2364    , 44           , 2959079      , 7.606729, -1    
   .0004    ,         25, 1.76      , 250        , 0     , 333.33 , 70               , 528.333333, 39.69946, 449      , 0          , 100       , 0          , 0          , 3420        , 124.2364    , 112          , 7532199      , 12.14998, -1    
   .0004    ,         25, 1.76      , 250        , 0     , 333.33 , 70               , 528.333333, 39.69946, 449      , 0          , 144       , 0          , 0          , 3420        , 124.2364    , 195          , 13114090     , 16.0543 , -1    
   .0004    ,         25, 1.76      , 250        , 0     , 333.33 , 70               , 528.333333, 39.69946, 449      , 0          , 196       , 0          , 0          , 3420        , 124.2364    , 311          , 20915290     , 20.31468, -1    
   .0004    ,         25, 1.76      , 250        , 0     , 333.33 , 70               , 528.333333, 39.69946, 449      , 0          , 256       , 0          , 0          , 3420        , 124.2364    , 500          , 33625850     , 25.84193, -1    
   .0004    ,         25, 1.76      , 250        , 0     , 333.33 , 70               , 528.333333, 39.69946, 449      , 0          , 324       , 0          , 0          , 3420        , 124.2364    , 731          , 49160410     , 31.37258, -1    
 , ,, , , ,120             
   .0004    ,         25, 1.76      , 250        , 0     , 333.33 , 120              , 578.333333, 37.23278, 449      , 0          , 36        , 0          , 0          , 3147        , 112.9732    , 8            , 538013.2     , 3.241571, -1    
