    
   BASELINE = 1    , complete set with tolerances for, detector distribution, bare channel, constant laser position
   EX_POW (W), SPOT_DIA, N_LENS, LENS_DIA (um), TOL (um), EFL (um), PDMS_LENS_DET (um), WD_PDMS, ANG, X_SHIFT, DIFF_X, DET_RAD (um), EX_DET_R, EX_DET_F, EX_SPOT_R, EX_SPOT_F, SPOT_DET_R, SPOT_DET_F, THETA, SNR
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 70               , 345       , 51.47271, 449      , 0          , 36        , 0          , 0          , 5418        , 128.1708    , 175          , 11769210     , 15.2036 , -1    
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 70               , 345       , 51.47271, 449      , 0          , 64        , 0          , 0          , 5418        , 128.1708    , 325          , 21857090     , 20.77185, -1    
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 70               , 345       , 51.47271, 449      , 0          , 100       , 0          , 0          , 5418        , 128.1708    , 326          , 21924330     , 20.80414, -1    
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 70               , 345       , 51.47271, 449      , 0          , 144       , 0          , 0          , 5418        , 128.1708    , 347          , 23336630     , 21.47146, -1    
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 70               , 345       , 51.47271, 449      , 0          , 196       , 0          , 0          , 5418        , 128.1708    , 639          , 42973940     , 29.28469, -1    
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 70               , 345       , 51.47271, 449      , 0          , 256       , 10         , .05541708  , 5418        , 128.1708    , 960          , 64561010     , 36.09901, .11E10
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 70               , 345       , 51.47271, 449      , 0          , 324       , 136        , 5.476741   , 5476        , 127.2721    , 1244         , 83660180     , 41.30556, .152E8
 , ,, , , ,120             
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 120              , 395       , 47.77398, 449      , 0          , 36        , 0          , 0          , 4789        , 128.3422    , 256          , 17216630     , 18.41379, -1    
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 120              , 395       , 47.77398, 449      , 0          , 64        , 0          , 0          , 4789        , 128.3422    , 349          , 23471110     , 21.53398, -1    
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 120              , 395       , 47.77398, 449      , 0          , 100       , 0          , 0          , 4789        , 128.3422    , 349          , 23471110     , 21.53398, -1    
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 120              , 395       , 47.77398, 449      , 0          , 144       , 0          , 0          , 4789        , 128.3422    , 349          , 23471110     , 21.53398, -1    
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 120              , 395       , 47.77398, 449      , 0          , 196       , 6          , .1612809   , 4789        , 128.3422    , 505          , 33962280     , 25.97306, .210E9
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 120              , 395       , 47.77398, 449      , 0          , 256       , 10         , .2523744   , 4789        , 128.3422    , 768          , 51649560     , 32.17775, .204E9
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 120              , 395       , 47.77398, 449      , 0          , 324       , 20         , .3233975   , 4827        , 128.8394    , 1018         , 68462310     , 37.21231, .211E9
 , ,, , , ,170             
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 170              , 445       , 44.46276, 449      , 0          , 36        , 0          , 0          , 4229        , 127.7565    , 252          , 16947590     , 18.26812, -1    
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 170              , 445       , 44.46276, 449      , 0          , 64        , 0          , 0          , 4229        , 127.7565    , 331          , 22260520     , 20.96486, -1    
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 170              , 445       , 44.46276, 449      , 0          , 100       , 0          , 0          , 4229        , 127.7565    , 335          , 22529520     , 21.0926 , -1    
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 170              , 445       , 44.46276, 449      , 0          , 144       , 0          , 0          , 4229        , 127.7565    , 337          , 22664020     , 21.15619, -1    
    
   BASELINE = 1    , complete set with tolerances for, detector distribution, bare channel, constant laser position
   EX_POW (W), SPOT_DIA, N_LENS, LENS_DIA (um), TOL (um), EFL (um), PDMS_LENS_DET (um), WD_PDMS, ANG, X_SHIFT, DIFF_X, DET_RAD (um), EX_DET_R, EX_DET_F, EX_SPOT_R, EX_SPOT_F, SPOT_DET_R, SPOT_DET_F, THETA, SNR
 , , 1.76     
 , ,, , , ,20              
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 20               , 295       , 55.5945 , 449      , 0          , 36        , 0          , 0          , 5719        , 125.0649    , 45           , 3026359      , 7.692812, -1    
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 20               , 295       , 55.5945 , 449      , 0          , 64        , 0          , 0          , 5719        , 125.0649    , 133          , 8944569      , 13.24481, -1    
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 20               , 295       , 55.5945 , 449      , 0          , 100       , 0          , 0          , 5719        , 125.0649    , 279          , 18763420     , 19.2307 , -1    
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 20               , 295       , 55.5945 , 449      , 0          , 144       , 0          , 0          , 5719        , 125.0649    , 516          , 34702230     , 26.25942, -1    
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 20               , 295       , 55.5945 , 449      , 0          , 196       , 0          , 0          , 5719        , 125.0649    , 820          , 55146540     , 33.27989, -1    
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 20               , 295       , 55.5945 , 449      , 0          , 256       , 2          , .05547806  , 5720        , 125.0316    , 1175         , 79017600     , 40.093  , .14E10
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 20               , 295       , 55.5945 , 449      , 0          , 324       , 9          , .3633867   , 5710        , 124.6141    , 1330         , 89441340     , 42.77721, .246E9
 , ,, , , ,70              
