 250um cubic zirconia ball, TOP=(PDMS_CHAN_LENS)+(LENS_DIA); BOT=(PDMS_CHAN_LENS) 
 EMISSION (um), N_LENS, LENS_DIA (um), EFF (um), BFL (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), AIR_GAP (um), DET_RAD (um), BASE_RAYS, N_RAYS
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 40        , 4                   , 17             
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 50        , 4                   , 24             
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 60        , 5                   , 38             
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 70        , 9                   , 94             
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 80        , 10                  , 119            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 90        , 11                  , 119            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 100       , 11                  , 119            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 110       , 13                  , 119            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 120       , 20                  , 119            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 130       , 27                  , 119            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 140       , 30                  , 121            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 150       , 35                  , 122            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 160       , 39                  , 124            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 170       , 43                  , 125            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 180       , 49                  , 125            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 190       , 54                  , 125            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 200       , 61                  , 126            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 210       , 68                  , 126            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 220       , 76                  , 126            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 230       , 84                  , 127            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 240       , 87                  , 127            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 250       , 94                  , 127            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 260       , 98                  , 128            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 270       , 104                 , 128            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 280       , 106                 , 129            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 290       , 110                 , 133            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 300       , 115                 , 137            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 10        , 0                   , 0              
 250um cubic zirconia ball, TOP=(EFL)+(LENS_DIA); BOT=(EFL) - ball in detector 
 EMISSION (um), N_LENS, LENS_DIA (um), EFF (um), BFL (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), AIR_GAP (um), DET_RAD (um), BASE_RAYS, N_RAYS
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 10        , 0                   , 0              
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 20        , 0                   , 0              
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 30        , 4                   , 0              
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 40        , 4                   , 0              
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 50        , 4                   , 0              
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 60        , 5                   , 0              
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 70        , 9                   , 0              
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 80        , 10                  , 0              
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 90        , 11                  , 0              
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 100       , 11                  , 0              
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 110       , 13                  , 0              
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 120       , 20                  , 0              
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 130       , 27                  , 1              
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 140       , 30                  , 1              
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 150       , 35                  , 2              
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 160       , 39                  , 6              
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 170       , 43                  , 12             
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 180       , 49                  , 22             
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 190       , 54                  , 29             
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 200       , 61                  , 35             
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 210       , 68                  , 41             
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 220       , 76                  , 49             
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 230       , 84                  , 57             
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 240       , 87                  , 67             
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 250       , 94                  , 71             
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 260       , 98                  , 78             
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 270       , 104                 , 83             
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 280       , 106                 , 86             
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 290       , 110                 , 92             
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 300       , 115                 , 96             
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 10        , 0                   , 0              
 250um cubic zirconia ball
 EMISSION (um), N_LENS, LENS_DIA (um), EFF (um), BFL (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), AIR_GAP (um), DET_RAD (um), BASE_RAYS, N_RAYS
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 10               , 2         , 40        , 4                   , 11             
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 40        , 4                   , 17             
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 30               , 2         , 40        , 5                   , 13             
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 40               , 2         , 40        , 4                   , 15             
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 50               , 2         , 40        , 6                   , 20             
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 60               , 2         , 40        , 4                   , 21             
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 70               , 2         , 40        , 4                   , 25             
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 80               , 2         , 40        , 5                   , 30             
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 90               , 2         , 40        , 4                   , 29             
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 100              , 2         , 40        , 4                   , 39             
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 110              , 2         , 40        , 4                   , 37             
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 120              , 2         , 40        , 5                   , 34             
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 130              , 2         , 40        , 3                   , 41             
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 140              , 2         , 40        , 4                   , 41             
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 150              , 2         , 40        , 3                   , 45             
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 160              , 2         , 40        , 3                   , 63             
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 170              , 2         , 40        , 3                   , 69             
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 180              , 2         , 40        , 4                   , 74             
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 190              , 2         , 40        , 2                   , 60             
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 200              , 2         , 40        , 2                   , 76             
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 210              , 2         , 40        , 2                   , 60             
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 220              , 2         , 40        , 2                   , 85             
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 230              , 2         , 40        , 1                   , 65             
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 240              , 2         , 40        , 3                   , 91             
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 250              , 2         , 40        , 2                   , 90             
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 260              , 2         , 40        , 2                   , 91             
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 270              , 2         , 40        , 2                   , 61             
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 280              , 2         , 40        , 2                   , 69             
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 290              , 2         , 40        , 2                   , 85             
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 300              , 2         , 40        , 2                   , 67             
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 10               , 2         , 40        , 4                   , 11             
 250um cubic zirconia ball
 EMISSION (um), N_LENS, LENS_DIA (um), EFF (um), BFL (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), AIR_GAP (um), DET_RAD (um), BASE_RAYS, N_RAYS
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 10               , 2         , 70        , 10                  , 79             
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 70        , 9                   , 94             
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 30               , 2         , 70        , 10                  , 101            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 40               , 2         , 70        , 10                  , 102            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 50               , 2         , 70        , 10                  , 113            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 60               , 2         , 70        , 7                   , 102            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 70               , 2         , 70        , 6                   , 120            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 80               , 2         , 70        , 6                   , 119            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 90               , 2         , 70        , 6                   , 108            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 100              , 2         , 70        , 5                   , 122            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 110              , 2         , 70        , 5                   , 107            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 120              , 2         , 70        , 6                   , 102            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 130              , 2         , 70        , 3                   , 113            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 140              , 2         , 70        , 4                   , 110            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 150              , 2         , 70        , 4                   , 110            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 160              , 2         , 70        , 5                   , 123            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 170              , 2         , 70        , 4                   , 123            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 180              , 2         , 70        , 5                   , 119            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 190              , 2         , 70        , 5                   , 112            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 200              , 2         , 70        , 4                   , 119            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 210              , 2         , 70        , 4                   , 108            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 220              , 2         , 70        , 4                   , 114            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 230              , 2         , 70        , 3                   , 101            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 240              , 2         , 70        , 5                   , 120            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 250              , 2         , 70        , 4                   , 119            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 260              , 2         , 70        , 4                   , 119            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 270              , 2         , 70        , 4                   , 99             
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 280              , 2         , 70        , 5                   , 100            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 290              , 2         , 70        , 4                   , 108            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 300              , 2         , 70        , 4                   , 98             
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 10               , 2         , 70        , 10                  , 79             
 250um cubic zirconia ball
 EMISSION (um), N_LENS, LENS_DIA (um), EFF (um), BFL (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), AIR_GAP (um), DET_RAD (um), BASE_RAYS, N_RAYS
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 10               , 2         , 80        , 11                  , 109            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 80        , 10                  , 119            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 30               , 2         , 80        , 12                  , 118            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 40               , 2         , 80        , 11                  , 113            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 50               , 2         , 80        , 12                  , 117            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 60               , 2         , 80        , 10                  , 105            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 70               , 2         , 80        , 11                  , 120            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 80               , 2         , 80        , 11                  , 119            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 90               , 2         , 80        , 9                   , 108            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 100              , 2         , 80        , 8                   , 123            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 110              , 2         , 80        , 8                   , 107            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 120              , 2         , 80        , 8                   , 103            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 130              , 2         , 80        , 5                   , 113            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 140              , 2         , 80        , 5                   , 112            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 150              , 2         , 80        , 5                   , 110            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 160              , 2         , 80        , 8                   , 123            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 170              , 2         , 80        , 5                   , 124            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 180              , 2         , 80        , 6                   , 120            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 190              , 2         , 80        , 5                   , 115            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 200              , 2         , 80        , 4                   , 120            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 210              , 2         , 80        , 4                   , 111            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 220              , 2         , 80        , 4                   , 114            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 230              , 2         , 80        , 3                   , 101            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 240              , 2         , 80        , 5                   , 120            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 250              , 2         , 80        , 4                   , 119            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 260              , 2         , 80        , 4                   , 120            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 270              , 2         , 80        , 4                   , 100            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 280              , 2         , 80        , 5                   , 102            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 290              , 2         , 80        , 4                   , 109            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 300              , 2         , 80        , 4                   , 98             
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 300              , 2         , 80        , 4                   , 98             
 250um cubic zirconia ball
