  
 LENS DETECTOR DISTRIBUTION, CONSTANT LASER POSITION, BARE channel, bare ball, CY5 fluorophore, with media/coating definitions, new excitation spot/emission calculations
 EX_POW (W), SPOT_DIA, N_LENS, LENS_DIA (um), EFL (um), PDMS_LENS_DET (um), WD_PDMS, ANG, X_SHIFT, DIFF_X, DET_RAD (um), EX_DET_R, EX_DET_F, EX_SPOT_R, EX_SPOT_F, SPOT_DET_R, SPOT_DET_F, THETA, SNR
 .0004    ,         10, 1.76      , 150        , 200    , 20               , 295       , 55.42113, 449      , 0          , 81        , 0          , 0          , 39          , 1.097003    , 306          , 8231736      , 20.149  , -1    
 .0004    ,         10, 1.76      , 150        , 200    , 20               , 295       , 55.42113, 449      , 0          , 100       , 0          , 0          , 39          , 1.097003    , 307          , 8258636      , 20.18224, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 20               , 295       , 55.42113, 449      , 0          , 121       , 0          , 0          , 39          , 1.097003    , 315          , 8473839      , 20.4463 , -1    
 .0004    ,         10, 1.76      , 150        , 200    , 20               , 295       , 55.42113, 449      , 0          , 144       , 0          , 0          , 39          , 1.097003    , 455          , 12239960     , 24.63247, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 20               , 295       , 55.42113, 449      , 0          , 169       , 0          , 0          , 39          , 1.097003    , 617          , 16597910     , 28.76509, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 20               , 295       , 55.42113, 449      , 0          , 196       , 0          , 0          , 39          , 1.097003    , 789          , 21224870     , 32.62683, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 20               , 295       , 55.42113, 449      , 0          , 225       , 0          , 0          , 39          , 1.097003    , 969          , 26066950     , 36.27369, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 20               , 295       , 55.42113, 449      , 0          , 256       , 0          , 0          , 39          , 1.097003    , 1138         , 30613180     , 39.4301 , -1    
 .0004    ,         10, 1.76      , 150        , 200    , 20               , 295       , 55.42113, 449      , 0          , 289       , 0          , 0          , 39          , 1.097003    , 1231         , 33114960     , 41.07937, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 20               , 295       , 55.42113, 449      , 0          , 324       , 0          , 0          , 39          , 1.097003    , 1240         , 33357060     , 41.23607, -1    
 , ,, , ,30              
 .0004    ,         10, 1.76      , 150        , 200    , 30               , 305       , 54.56505, 449      , 0          , 25        , 0          , 0          , 0           , 0           , 1240         , 33357060     , 41.23607, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 30               , 305       , 54.56505, 449      , 0          , 36        , 0          , 0          , 0           , 0           , 1240         , 33357060     , 41.23607, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 30               , 305       , 54.56505, 449      , 0          , 49        , 0          , 0          , 0           , 0           , 1240         , 33357060     , 41.23607, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 30               , 305       , 54.56505, 449      , 0          , 64        , 0          , 0          , 0           , 0           , 1240         , 33357060     , 41.23607, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 30               , 305       , 54.56505, 449      , 0          , 81        , 0          , 0          , 0           , 0           , 1240         , 33357060     , 41.23607, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 30               , 305       , 54.56505, 449      , 0          , 100       , 0          , 0          , 0           , 0           , 1240         , 33357060     , 41.23607, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 30               , 305       , 54.56505, 449      , 0          , 121       , 0          , 0          , 0           , 0           , 1240         , 33357060     , 41.23607, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 30               , 305       , 54.56505, 449      , 0          , 144       , 0          , 0          , 0           , 0           , 1240         , 33357060     , 41.23607, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 30               , 305       , 54.56505, 449      , 0          , 169       , 0          , 0          , 0           , 0           , 1240         , 33357060     , 41.23607, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 30               , 305       , 54.56505, 449      , 0          , 196       , 0          , 0          , 0           , 0           , 1240         , 33357060     , 41.23607, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 30               , 305       , 54.56505, 449      , 0          , 225       , 0          , 0          , 0           , 0           , 1240         , 33357060     , 41.23607, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 30               , 305       , 54.56505, 449      , 0          , 256       , 0          , 0          , 0           , 0           , 1240         , 33357060     , 41.23607, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 30               , 305       , 54.56505, 449      , 0          , 289       , 0          , 0          , 0           , 0           , 1240         , 33357060     , 41.23607, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 30               , 305       , 54.56505, 449      , 0          , 324       , 0          , 0          , 0           , 0           , 1240         , 33357060     , 41.23607, -1    
 , ,, , ,40              
 .0004    ,         10, 1.76      , 150        , 200    , 40               , 315       , 53.7268 , 449      , 0          , 25        , 0          , 0          , 0           , 0           , 1240         , 33357060     , 41.23607, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 40               , 315       , 53.7268 , 449      , 0          , 36        , 0          , 0          , 0           , 0           , 1240         , 33357060     , 41.23607, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 40               , 315       , 53.7268 , 449      , 0          , 49        , 0          , 0          , 0           , 0           , 1240         , 33357060     , 41.23607, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 40               , 315       , 53.7268 , 449      , 0          , 64        , 0          , 0          , 0           , 0           , 1240         , 33357060     , 41.23607, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 40               , 315       , 53.7268 , 449      , 0          , 81        , 0          , 0          , 0           , 0           , 1240         , 33357060     , 41.23607, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 40               , 315       , 53.7268 , 449      , 0          , 100       , 0          , 0          , 0           , 0           , 1240         , 33357060     , 41.23607, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 40               , 315       , 53.7268 , 449      , 0          , 121       , 0          , 0          , 0           , 0           , 1240         , 33357060     , 41.23607, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 40               , 315       , 53.7268 , 449      , 0          , 144       , 0          , 0          , 0           , 0           , 1240         , 33357060     , 41.23607, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 40               , 315       , 53.7268 , 449      , 0          , 169       , 0          , 0          , 0           , 0           , 1240         , 33357060     , 41.23607, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 40               , 315       , 53.7268 , 449      , 0          , 196       , 0          , 0          , 0           , 0           , 1240         , 33357060     , 41.23607, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 40               , 315       , 53.7268 , 449      , 0          , 225       , 0          , 0          , 0           , 0           , 1240         , 33357060     , 41.23607, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 40               , 315       , 53.7268 , 449      , 0          , 256       , 0          , 0          , 0           , 0           , 1240         , 33357060     , 41.23607, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 40               , 315       , 53.7268 , 449      , 0          , 289       , 0          , 0          , 0           , 0           , 1240         , 33357060     , 41.23607, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 40               , 315       , 53.7268 , 449      , 0          , 324       , 0          , 0          , 0           , 0           , 1240         , 33357060     , 41.23607, -1    
 , ,, , ,50              
 .0004    ,         10, 1.76      , 150        , 200    , 50               , 325       , 52.90617, 449      , 0          , 25        , 0          , 0          , 0           , 0           , 1240         , 33357060     , 41.23607, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 50               , 325       , 52.90617, 449      , 0          , 36        , 0          , 0          , 0           , 0           , 1240         , 33357060     , 41.23607, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 50               , 325       , 52.90617, 449      , 0          , 49        , 0          , 0          , 0           , 0           , 1240         , 33357060     , 41.23607, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 50               , 325       , 52.90617, 449      , 0          , 64        , 0          , 0          , 0           , 0           , 1240         , 33357060     , 41.23607, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 50               , 325       , 52.90617, 449      , 0          , 81        , 0          , 0          , 0           , 0           , 1240         , 33357060     , 41.23607, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 50               , 325       , 52.90617, 449      , 0          , 100       , 0          , 0          , 0           , 0           , 1240         , 33357060     , 41.23607, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 50               , 325       , 52.90617, 449      , 0          , 121       , 0          , 0          , 0           , 0           , 1240         , 33357060     , 41.23607, -1    
