 EMISSION (um), N_LENS, LENS_DIA (um), EFF (um), BFL (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), COAT_REFL , AIR_GAP (um), DET_RAD (um), BASE_RAYS, N_RAYS, BASE_THETA, N_THETA, BASE_EX, N_EX
 EMISSION (um), N_LENS, LENS_DIA (um), EFF (um), BFL (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), COAT_REFL , AIR_GAP (um), DET_RAD (um), BASE_RAYS, N_RAYS, BASE_THETA, N_THETA, BASE_EX, N_EX
 EMISSION (um), N_LENS, LENS_DIA (um), EFF (um), BFL (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), COAT_REFL , AIR_GAP (um), DET_RAD (um), BASE_RAYS, N_RAYS, BASE_THETA, N_THETA, BASE_EX, N_EX
 EMISSION (um), N_LENS, LENS_DIA (um), EFF (um), BFL (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), COAT_REFL , AIR_GAP (um), DET_RAD (um), BASE_RAYS, N_RAYS, BASE_THETA, N_THETA, BASE_EX, N_EX
 EMISSION (um), N_LENS, LENS_DIA (um), EFF (um), BFL (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), COAT_REFL , AIR_GAP (um), DET_RAD (um), BASE_RAYS, N_RAYS, BASE_THETA, N_THETA, BASE_EX, N_EX
 .59       , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 10               , -1          , 2         , 80        , 0           , 19      , 12.578118655 , 15.845807, 0         , 0     
 .59       , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 20               , -1          , 2         , 80        , 0           , 22      , 12.578118655 , 17.059621, 0         , 0     
 .59       , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 30               , -1          , 2         , 80        , 0           , 22      , 12.578118655 , 17.059621, 0         , 0     
 .59       , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 40               , -1          , 2         , 80        , 0           , 20      , 12.040607741 , 16.260204, 0         , 0     
 .59       , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 50               , -1          , 2         , 80        , 0           , 19      , 12.040607741 , 15.845807, 0         , 0     
 .59       , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 60               , -1          , 2         , 80        , 0           , 33      , 11.478340954 , 20.932816, 0         , 0     
 .59       , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 70               , -1          , 2         , 80        , 0           , 29      , 10.263095898 , 19.60981 , 0         , 0     
 .59       , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 80               , -1          , 2         , 80        , 0           , 27      , 11.478340954 , 18.915092, 0         , 0     
 .59       , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 90               , -1          , 2         , 80        , 0           , 27      , 10.887482877 , 18.915092, 0         , 0     
 .59       , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 100              , -1          , 2         , 80        , 0           , 22      , 11.478340954 , 17.059621, 0         , 0     
 .59       , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 110              , -1          , 2         , 80        , 0           , 26      , 11.478340954 , 18.558353, 0         , 0     
 .59       , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 120              , -1          , 2         , 80        , 0           , 21      , 9.5986383834 , 16.664571, 0         , 0     
 .59       , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 130              , -1          , 2         , 80        , 0           , 28      , 10.263095898 , 19.265464, 0         , 0     
 .59       , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 140              , -1          , 2         , 80        , 0           , 18      , 10.263095898 , 15.42057 , 0         , 0     
 .59       , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 150              , -1          , 2         , 80        , 0           , 20      , 9.5986383834 , 16.260204, 0         , 0     
 .59       , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 160              , -1          , 2         , 80        , 0           , 23      , 7.252246865  , 17.445987, 0         , 0     
 .59       , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 170              , -1          , 2         , 80        , 0           , 27      , 8.1096144559 , 18.915092, 0         , 0     
 .59       , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 180              , -1          , 2         , 80        , 0           , 19      , 8.1096144559 , 15.845807, 0         , 0     
 .59       , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 190              , -1          , 2         , 80        , 0           , 27      , 8.1096144559 , 18.915092, 0         , 0     
 .59       , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 200              , -1          , 2         , 80        , 0           , 21      , 8.1096144559 , 16.664571, 0         , 0     
 .59       , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 210              , -1          , 2         , 80        , 0           , 20      , 7.252246865  , 16.260204, 0         , 0     
 .59       , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 220              , -1          , 2         , 80        , 0           , 26      , 7.252246865  , 18.558353, 0         , 0     
 .59       , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 230              , -1          , 2         , 80        , 0           , 28      , 8.1096144559 , 19.265464, 0         , 0     
 .59       , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 240              , -1          , 2         , 80        , 0           , 25      , 7.252246865  , 18.194872, 0         , 0     
 .59       , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 250              , -1          , 2         , 80        , 0           , 30      , 7.252246865  , 19.948443, 0         , 0     
 .59       , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 260              , -1          , 2         , 80        , 0           , 23      , 7.252246865  , 17.445987, 0         , 0     
 .59       , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 270              , -1          , 2         , 80        , 0           , 23      , 6.2795806411 , 17.445987, 0         , 0     
 .59       , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 280              , -1          , 2         , 80        , 0           , 27      , 6.2795806411 , 18.915092, 0         , 0     
 .59       , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 290              , -1          , 2         , 80        , 0           , 19      , 7.252246865  , 15.845807, 0         , 0     
 .59       , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 300              , -1          , 2         , 80        , 0           , 26      , 7.252246865  , 18.558353, 0         , 0     
 .59       , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 0                , -1          , 2         , 80        , 0           , 19      , 13.09392332  , 15.845807, 0         , 0     
 , 1.768     , 150        ,  ,  , , , , , 100        ,  , ,  , , ,
